code,type,area_mm2,diameter_mm,weight_n_per_m,conductor_rts_kn,cost_dol_per_km,installation_dol_per_km,accessories_dol_per_km,str_costs_dol,temp_dc_c,temp_low_c,temp_high_c,max_temperature_c,res_dc_ohm_per_m,res_low_ohm_per_m,res_high_ohm_per_m,elastic_modulus_gpa,coeff_thermal_expan_per_c,emissivity,solar_absorptivity
477.0_PELICAN,ACSR,256.0,21.0,7.55,52.49,3083.99,4438.98,862.86,0,20,25,75,100,0.000118,0.000118,0.000145,66.0,2.12e-05,0.5,0.5
795.0_DRAKE,ACSR,468.0,28.0,15.96,140.12,5613.52,7739.5,862.86,0,20,25,75,100,7.02e-05,7.02e-05,8.63e-05,75.5,1.92e-05,0.5,0.5
1272.0_PHEASANT,ACSR,727.0,35.0,23.84,193.94,8146.33,11702.76,862.86,0,20,25,75,100,4.43e-05,4.43e-05,5.68e-05,62.7,1.93e-05,0.5,0.5
477.0_FLICKER,ACSS,273.0,21.0,8.97,57.83,3546.59,4452.1,862.86,0,20,25,75,200,0.000115,0.000117,0.000143,65.25,1.8e-05,0.5,0.5
795.0_DRAKE,ACSS,468.0,28.0,15.95,115.21,5646.33,7739.5,862.86,0,20,25,75,200,6.97e-05,7.05e-05,8.57e-05,67.95,1.73e-05,0.5,0.5
1272.0_PHEASANT,ACSS,727.0,35.0,23.85,151.68,8920.6,11702.76,862.86,0,20,25,75,200,4.37e-05,4e-05,5.63e-05,56.43,1.74e-05,0.5,0.5
1590.0_FALCON,ACSS,909.0,39.0,29.83,189.49,11131.89,15301.84,862.86,0,20,25,75,200,3.5e-05,3.7e-05,4.57e-05,56.43,1.74e-05,0.5,0.5
467_GLASGOW,ACCC,237.0,20.0,7.18,115.0,7898.62,11204.07,2460.63,0,20,25,200,200,0.000119,0.000122,0.000204,76.4,1.75e-05,0.5,0.5
725_AMSTERDAM,ACCC,367.0,24.0,10.8,122.4,10137.8,15264.11,2460.63,0,20,25,200,200,7.62e-05,7.84e-05,0.000132,73.8,1.91e-05,0.5,0.5
1242_VIENNA,ACCC,629.0,30.0,18.18,165.5,16084.32,23375.98,2460.63,0,20,25,200,200,4.45e-05,4.66e-05,7.73e-05,72.5,1.99e-05,0.5,0.5
1999_MADRID,ACCC,1010.0,38.0,28.92,219.1,27805.12,38254.59,2460.63,0,20,25,200,200,2.76e-05,3.02e-05,4.85e-05,71.5,2.05e-05,0.5,0.5
2715_SANFORD,AECC,1570.0,44.8,39.24,365.6,33366.14,45905.51,2460.63,0,20,25,75,200,2.05e-05,2.45e-05,2.82e-05,61.6,1.35e-05,0.5,0.5
1360_SIERRA,AECC,803.0,32.0,19.8,235.8,27411.42,39704.73,2460.63,0,20,25,75,200,4.05e-05,4.32e-05,5.11e-05,64.3,1.46e-05,0.5,0.5
738_MARTIN,AECC,374.0,23.5,10.73,128.15,13937.01,19990.16,2460.63,0,20,25,75,200,7.44e-05,7.7e-05,9.2e-05,64.4,1.34e-05,0.5,0.5
477_HAWK,ACCR,277.0,21.6,7.781,85.406,23674.54,35616.8,2460.63,0,20,25,210,240,0.000115,0.000118,0.000205,78.0,1.67e-05,0.5,0.5
795_DRAKE,ACCR,484.0,28.6,13.576,143.233,44908.14,61916.01,2460.63,0,20,25,210,240,6.58e-05,6.74e-05,0.000117,74.0,1.65e-05,0.5,0.5
1272_PHEASANT,ACCR,723.0,35.0,20.236,191.273,65170.61,93622.05,2460.63,0,20,25,210,240,4.36e-05,4.47e-05,7.74e-05,73.0,1.71e-05,0.5,0.5
1590_FALCON,ACCR,910.0,39.3,25.462,238.425,88976.38,122414.7,2460.63,0,20,25,210,240,3.47e-05,3.55e-05,6.15e-05,73.0,1.71e-05,0.5,0.5
477.0_ROGERS,ACCS,274.0,19.8,7.041,81.8,14796.59,22260.5,2460.63,0,20,25,180,200,0.000115662,0.000119,0.000193,54.375,1.5e-05,0.5,0.5
795.0_DENALI,ACCS,469.0,25.7,11.935,161.0,28067.59,38697.51,2460.63,0,20,25,180,200,6.95e-05,7.16e-05,0.000116,56.625,1.44e-05,0.5,0.5
1272.0_ELDORADO,ACCS,711.0,31.6,18.524,173.9,40731.63,58513.78,2460.63,0,20,25,180,200,4.36e-05,4.6e-05,7.35e-05,47.025,1.45e-05,0.5,0.5
1590.0_ADIRONDACK,ACCS,888.0,35.2,23.149,212.6,55610.24,76509.19,2460.63,0,20,25,180,200,3.49e-05,3.75e-05,5.92e-05,47.025,1.45e-05,0.5,0.5
